Graph Root,Average Size,Standard Deviation,Name,Percentage
93,1.75,0.4629100498862757,Scaffold-1,0.05
127,1.0,0.0,Scaffold-1,0.05
189,1.0,0.0,Scaffold-1,0.05
192,1.0,0.0,Scaffold-1,0.05
198,1.0,0.0,Scaffold-1,0.05
201,1.8571428571428572,0.37796447300922725,Scaffold-1,0.05
635,2.25,0.9574271077563381,Scaffold-1,0.05
725,1.0,0.0,Scaffold-1,0.05
799,1.0,0.0,Scaffold-1,0.05
807,1.0,0.0,Scaffold-1,0.05
828,1.5,0.7071067811865476,Scaffold-1,0.05
877,1.0,0.0,Scaffold-1,0.05
987,1.6666666666666667,1.1547005383792517,Scaffold-1,0.05
1016,1.0,,Scaffold-1,0.05
1038,2.6666666666666665,0.6513389472789296,Scaffold-1,0.05
1054,1.9230769230769231,0.2773500981126146,Scaffold-1,0.05
1177,1.0,,Scaffold-1,0.05
1287,1.0,,Scaffold-1,0.05
1291,2.3333333333333335,1.1547005383792515,Scaffold-1,0.05
1362,1.0,0.0,Scaffold-1,0.05
1473,1.0,,Scaffold-1,0.05
1539,1.0,0.0,Scaffold-1,0.05
1570,1.0,0.0,Scaffold-1,0.05
1585,1.0,,Scaffold-1,0.05
1593,1.0,0.0,Scaffold-1,0.05
1632,2.769230769230769,0.599144689515278,Scaffold-1,0.05
145,1.875,0.3535533905932738,Scaffold-1,0.05
146,1.0,0.0,Scaffold-1,0.05
214,1.75,0.4629100498862757,Scaffold-1,0.05
676,2.769230769230769,0.5991446895152781,Scaffold-1,0.05
697,1.5,0.7071067811865476,Scaffold-1,0.05
758,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
850,3.0,0.0,Scaffold-1,0.05
861,1.5,0.5773502691896257,Scaffold-1,0.05
890,2.3333333333333335,1.0327955589886446,Scaffold-1,0.05
907,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
955,1.4,0.5477225575051661,Scaffold-1,0.05
1003,2.3333333333333335,0.5773502691896258,Scaffold-1,0.05
1008,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1068,1.0,0.0,Scaffold-1,0.05
1132,1.0,,Scaffold-1,0.05
1134,1.2,0.4472135954999579,Scaffold-1,0.05
1297,1.25,0.5,Scaffold-1,0.05
1300,1.5,0.7071067811865476,Scaffold-1,0.05
1380,1.9,0.31622776601683794,Scaffold-1,0.05
1498,2.0,0.0,Scaffold-1,0.05
1506,1.0,0.0,Scaffold-1,0.05
1594,1.0,0.0,Scaffold-1,0.05
1596,1.9230769230769231,0.2773500981126146,Scaffold-1,0.05
1611,2.5,1.0,Scaffold-1,0.05
1614,2.0,0.0,Scaffold-1,0.05
13,1.0,0.0,Scaffold-1,0.05
14,1185.6,648.9948381921076,Scaffold-1,0.05
16,1.0,0.0,Scaffold-1,0.05
27,1431.0,,Scaffold-1,0.05
78,1.0,0.0,Scaffold-1,0.05
90,1.8571428571428572,0.3779644730092273,Scaffold-1,0.05
91,1.0,0.0,Scaffold-1,0.05
202,1.0,0.0,Scaffold-1,0.05
226,34.833333333333336,3.2506409624359724,Scaffold-1,0.05
236,1.8461538461538463,0.37553380809940534,Scaffold-1,0.05
344,1.8,1.0954451150103324,Scaffold-1,0.05
419,2.0,0.816496580927726,Scaffold-1,0.05
447,2.0,1.1547005383792515,Scaffold-1,0.05
521,1.5,0.7071067811865476,Scaffold-1,0.05
555,1.0,0.0,Scaffold-1,0.05
714,2.0,,Scaffold-1,0.05
719,2.0,0.0,Scaffold-1,0.05
805,1.5,0.7071067811865476,Scaffold-1,0.05
853,1.0,,Scaffold-1,0.05
1005,2.0,0.0,Scaffold-1,0.05
1069,1.0,0.0,Scaffold-1,0.05
1091,2.0,0.0,Scaffold-1,0.05
1111,1.0,0.0,Scaffold-1,0.05
1121,1.0,,Scaffold-1,0.05
1131,2.0,,Scaffold-1,0.05
1172,2.0,0.0,Scaffold-1,0.05
1234,1.0,,Scaffold-1,0.05
1276,1.0,0.0,Scaffold-1,0.05
1427,1.0,0.0,Scaffold-1,0.05
1450,1.0,0.0,Scaffold-1,0.05
1624,1.0,0.0,Scaffold-1,0.05
1631,3.3,1.2516655570345725,Scaffold-1,0.05
1637,1.9090909090909092,0.30151134457776363,Scaffold-1,0.05
1642,1.0,0.0,Scaffold-1,0.05
12,1.8461538461538463,0.3755338080994054,Scaffold-1,0.05
31,1.7,0.4830458915396479,Scaffold-1,0.05
64,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
103,2.0,0.0,Scaffold-1,0.05
107,1.0,0.0,Scaffold-1,0.05
140,1.0,0.0,Scaffold-1,0.05
204,1.9,0.31622776601683794,Scaffold-1,0.05
322,1.0,0.0,Scaffold-1,0.05
335,1.0,0.0,Scaffold-1,0.05
420,1.0,0.0,Scaffold-1,0.05
537,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
677,1.0,,Scaffold-1,0.05
685,1.75,0.9574271077563381,Scaffold-1,0.05
886,2.6363636363636362,0.6741998624632421,Scaffold-1,0.05
1007,1.0,0.0,Scaffold-1,0.05
1071,1.0,0.0,Scaffold-1,0.05
1352,1.0,0.0,Scaffold-1,0.05
1512,1.0,0.0,Scaffold-1,0.05
1633,2.7142857142857144,0.726273039202563,Scaffold-1,0.05
1653,1.0,0.0,Scaffold-1,0.05
7,1.0,0.0,Scaffold-1,0.05
22,1.0,0.0,Scaffold-1,0.05
44,1.9,0.31622776601683794,Scaffold-1,0.05
100,1.0,0.0,Scaffold-1,0.05
106,1.875,0.3535533905932738,Scaffold-1,0.05
164,40.0,,Scaffold-1,0.05
187,28.5,2.1213203435596424,Scaffold-1,0.05
197,1.8571428571428572,0.3779644730092273,Scaffold-1,0.05
315,1.0,0.0,Scaffold-1,0.05
332,2.0,1.0,Scaffold-1,0.05
630,1.0,0.0,Scaffold-1,0.05
770,1.0,0.0,Scaffold-1,0.05
815,2.25,0.9574271077563381,Scaffold-1,0.05
844,3.0,0.0,Scaffold-1,0.05
855,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
926,1.0,0.0,Scaffold-1,0.05
989,2.5,0.8498365855987975,Scaffold-1,0.05
1191,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
1309,1.0,0.0,Scaffold-1,0.05
1382,1.0,0.0,Scaffold-1,0.05
1420,2.0,,Scaffold-1,0.05
1428,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1496,2.0,1.0,Scaffold-1,0.05
1530,1.0,0.0,Scaffold-1,0.05
1577,1.5,0.5773502691896257,Scaffold-1,0.05
1581,3.2857142857142856,1.2535663410560174,Scaffold-1,0.05
1586,2.5,0.9045340337332909,Scaffold-1,0.05
110,1.0,0.0,Scaffold-1,0.05
130,1.0,0.0,Scaffold-1,0.05
152,2.0,0.0,Scaffold-1,0.05
155,1.875,0.3535533905932738,Scaffold-1,0.05
583,3.0,0.0,Scaffold-1,0.05
675,2.25,0.9574271077563381,Scaffold-1,0.05
728,2.0,1.0,Scaffold-1,0.05
734,3.0,0.0,Scaffold-1,0.05
773,1.7142857142857142,0.48795003647426666,Scaffold-1,0.05
958,1.0,0.0,Scaffold-1,0.05
1135,1.0,0.0,Scaffold-1,0.05
1147,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
1232,1.0,0.0,Scaffold-1,0.05
1346,1.875,0.3535533905932738,Scaffold-1,0.05
1367,1.0,0.0,Scaffold-1,0.05
1404,1.0,0.0,Scaffold-1,0.05
1523,1.8235294117647058,0.3929526239966879,Scaffold-1,0.05
1599,1.0,0.0,Scaffold-1,0.05
1635,1.0,0.0,Scaffold-1,0.05
3,1.9166666666666667,0.28867513459481287,Scaffold-1,0.05
37,1.6666666666666667,0.49236596391733095,Scaffold-1,0.05
113,1.0,0.0,Scaffold-1,0.05
165,1.9,0.31622776601683794,Scaffold-1,0.05
217,1.9090909090909092,0.30151134457776363,Scaffold-1,0.05
218,1.0,0.0,Scaffold-1,0.05
227,1.8181818181818181,0.40451991747794525,Scaffold-1,0.05
442,1.0,,Scaffold-1,0.05
453,2.0,,Scaffold-1,0.05
529,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
550,2.8461538461538463,0.3755338080994054,Scaffold-1,0.05
641,2.0,1.0,Scaffold-1,0.05
851,1.0,0.0,Scaffold-1,0.05
869,1.0,0.0,Scaffold-1,0.05
918,2.0,0.0,Scaffold-1,0.05
940,1.0,0.0,Scaffold-1,0.05
1006,2.3333333333333335,1.505545305418162,Scaffold-1,0.05
1143,1.0,0.0,Scaffold-1,0.05
1249,2.8333333333333335,0.38924947208076144,Scaffold-1,0.05
1430,1.0,0.0,Scaffold-1,0.05
1499,3.1666666666666665,1.1690451944500122,Scaffold-1,0.05
4,1.0,0.0,Scaffold-1,0.05
21,2.0,0.0,Scaffold-1,0.05
65,1.0,0.0,Scaffold-1,0.05
142,1.875,0.3535533905932738,Scaffold-1,0.05
221,1.0,0.0,Scaffold-1,0.05
384,2.0,0.0,Scaffold-1,0.05
483,2.0,,Scaffold-1,0.05
488,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
557,2.5,0.7071067811865476,Scaffold-1,0.05
558,1.0,0.0,Scaffold-1,0.05
621,2.0,1.4142135623730951,Scaffold-1,0.05
659,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
702,3.4,1.07496769977314,Scaffold-1,0.05
748,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
1169,1.0,0.0,Scaffold-1,0.05
1477,1.0,0.0,Scaffold-1,0.05
1522,1.0,0.0,Scaffold-1,0.05
1527,1.0,0.0,Scaffold-1,0.05
24,1.7142857142857142,0.48795003647426666,Scaffold-1,0.05
25,1.0,0.0,Scaffold-1,0.05
32,1.0,0.0,Scaffold-1,0.05
67,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
70,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
81,1.0,0.0,Scaffold-1,0.05
228,1.0,0.0,Scaffold-1,0.05
532,2.0,,Scaffold-1,0.05
567,1.9090909090909092,0.30151134457776363,Scaffold-1,0.05
595,2.0,0.8944271909999159,Scaffold-1,0.05
617,1.0,,Scaffold-1,0.05
623,1.5,0.5773502691896257,Scaffold-1,0.05
666,2.0,0.0,Scaffold-1,0.05
759,2.0,,Scaffold-1,0.05
1001,1.0,0.0,Scaffold-1,0.05
1017,3.909090909090909,0.30151134457776363,Scaffold-1,0.05
1104,2.3846153846153846,0.869718492622904,Scaffold-1,0.05
1110,3.0,,Scaffold-1,0.05
1151,1.0,,Scaffold-1,0.05
1186,1.0,,Scaffold-1,0.05
1310,1.8,0.8366600265340756,Scaffold-1,0.05
1313,1.0,,Scaffold-1,0.05
1365,2.0,0.0,Scaffold-1,0.05
18,1.6666666666666667,0.5163977794943223,Scaffold-1,0.05
47,1.8181818181818181,0.40451991747794525,Scaffold-1,0.05
104,1.0,0.0,Scaffold-1,0.05
148,2.0,0.0,Scaffold-1,0.05
194,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
311,2.75,0.5,Scaffold-1,0.05
342,1.0,0.0,Scaffold-1,0.05
506,1.5,0.5773502691896257,Scaffold-1,0.05
543,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
544,1.0,0.0,Scaffold-1,0.05
1210,1.0,0.0,Scaffold-1,0.05
1280,1.0,0.0,Scaffold-1,0.05
1491,2.0,1.0,Scaffold-1,0.05
1560,2.625,0.7440238091428449,Scaffold-1,0.05
1639,1.0,0.0,Scaffold-1,0.05
125,27.666666666666668,1.5275252316519468,Scaffold-1,0.05
136,1.0,0.0,Scaffold-1,0.05
237,1.0,0.0,Scaffold-1,0.05
343,1.0,,Scaffold-1,0.05
348,1.0,0.0,Scaffold-1,0.05
404,2.0,1.1547005383792515,Scaffold-1,0.05
577,1.0,0.0,Scaffold-1,0.05
655,1.75,0.5,Scaffold-1,0.05
691,2.4,0.8944271909999159,Scaffold-1,0.05
732,1.0,0.0,Scaffold-1,0.05
735,1.5,0.7071067811865476,Scaffold-1,0.05
810,2.0,1.0,Scaffold-1,0.05
1148,1.0,,Scaffold-1,0.05
1396,2.0,0.7071067811865476,Scaffold-1,0.05
1520,1.0,0.0,Scaffold-1,0.05
68,1.0,0.0,Scaffold-1,0.05
143,1.0,0.0,Scaffold-1,0.05
158,2.0,0.0,Scaffold-1,0.05
307,1.5,0.5773502691896257,Scaffold-1,0.05
371,2.2,0.8366600265340756,Scaffold-1,0.05
400,1.6666666666666667,1.1547005383792517,Scaffold-1,0.05
427,1.5,0.5477225575051661,Scaffold-1,0.05
461,11.5,12.020815280171307,Scaffold-1,0.05
490,1.9090909090909092,0.30151134457776363,Scaffold-1,0.05
513,1.4,0.5477225575051661,Scaffold-1,0.05
547,1.8333333333333333,0.3892494720807615,Scaffold-1,0.05
579,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
1024,1.0,0.0,Scaffold-1,0.05
1168,2.0,0.0,Scaffold-1,0.05
1293,2.0,1.4142135623730951,Scaffold-1,0.05
1296,2.0,0.0,Scaffold-1,0.05
1369,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
10,1.0,0.0,Scaffold-1,0.05
153,1.0,0.0,Scaffold-1,0.05
169,1.0,0.0,Scaffold-1,0.05
175,1.0,0.0,Scaffold-1,0.05
656,1.5,0.7071067811865476,Scaffold-1,0.05
892,3.0,0.0,Scaffold-1,0.05
901,1.0,,Scaffold-1,0.05
1114,1.5,1.0,Scaffold-1,0.05
1231,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1655,1.0,0.0,Scaffold-1,0.05
29,1.0,0.0,Scaffold-1,0.05
84,1.0,0.0,Scaffold-1,0.05
159,1.0,0.0,Scaffold-1,0.05
535,1.0,0.0,Scaffold-1,0.05
536,2.0,0.0,Scaffold-1,0.05
588,1.75,0.5,Scaffold-1,0.05
606,1.8,0.44721359549995804,Scaffold-1,0.05
650,2.3333333333333335,1.1547005383792515,Scaffold-1,0.05
704,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
876,1.0,0.0,Scaffold-1,0.05
1056,2.0,0.0,Scaffold-1,0.05
1077,1.0,0.0,Scaffold-1,0.05
1080,1.0,,Scaffold-1,0.05
1368,1.25,0.5,Scaffold-1,0.05
139,1.9090909090909092,0.30151134457776363,Scaffold-1,0.05
171,1.8888888888888888,0.33333333333333337,Scaffold-1,0.05
210,2.0,0.0,Scaffold-1,0.05
833,1.0,,Scaffold-1,0.05
889,1.5,0.5773502691896257,Scaffold-1,0.05
1034,1.0,0.0,Scaffold-1,0.05
1118,1.0,0.0,Scaffold-1,0.05
1173,1.0,,Scaffold-1,0.05
1268,1.5,0.7071067811865476,Scaffold-1,0.05
1283,1.0,0.0,Scaffold-1,0.05
1325,1.5,0.7071067811865476,Scaffold-1,0.05
1351,2.0,,Scaffold-1,0.05
1549,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1555,1.0,,Scaffold-1,0.05
1629,1.0,0.0,Scaffold-1,0.05
83,1.8571428571428572,0.36313651960128146,Scaffold-1,0.05
231,1.0,0.0,Scaffold-1,0.05
234,1.0,0.0,Scaffold-1,0.05
327,1.9,0.31622776601683794,Scaffold-1,0.05
366,2.0,,Scaffold-1,0.05
806,2.0,0.0,Scaffold-1,0.05
818,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
1179,1.5,0.7071067811865476,Scaffold-1,0.05
1306,1.0,,Scaffold-1,0.05
1502,1.5,0.7071067811865476,Scaffold-1,0.05
1609,1.5,0.5773502691896257,Scaffold-1,0.05
109,1.8571428571428572,0.37796447300922725,Scaffold-1,0.05
1513,2.6666666666666665,0.7071067811865475,Scaffold-1,0.05
1584,3.375,1.1877349391654208,Scaffold-1,0.05
1640,1.0,0.0,Scaffold-1,0.05
188,2.0,0.0,Scaffold-1,0.05
341,1.0,,Scaffold-1,0.05
680,15.333333333333334,24.826061575153908,Scaffold-1,0.05
705,1.0,0.0,Scaffold-1,0.05
983,1.5,0.7071067811865476,Scaffold-1,0.05
73,2.0,0.0,Scaffold-1,0.05
207,2.0,0.0,Scaffold-1,0.05
305,2.3333333333333335,0.5773502691896258,Scaffold-1,0.05
345,1.0,,Scaffold-1,0.05
405,2.0,,Scaffold-1,0.05
492,1.0,0.0,Scaffold-1,0.05
738,1.0,0.0,Scaffold-1,0.05
951,2.0,1.4142135623730951,Scaffold-1,0.05
1037,2.6153846153846154,0.650443635587991,Scaffold-1,0.05
1048,1.0,0.0,Scaffold-1,0.05
1212,1.0,0.0,Scaffold-1,0.05
1370,2.3333333333333335,1.1547005383792515,Scaffold-1,0.05
1410,1.0,0.0,Scaffold-1,0.05
1486,1.0,0.0,Scaffold-1,0.05
77,1.9285714285714286,0.26726124191242434,Scaffold-1,0.05
205,1.0,0.0,Scaffold-1,0.05
672,1.5,0.7071067811865476,Scaffold-1,0.05
839,1.0,0.0,Scaffold-1,0.05
942,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1237,2.0,,Scaffold-1,0.05
1592,1.9,0.31622776601683794,Scaffold-1,0.05
349,2.0,1.0,Scaffold-1,0.05
518,1.0,0.0,Scaffold-1,0.05
556,1.0,0.0,Scaffold-1,0.05
720,2.5,1.0,Scaffold-1,0.05
935,1.0,0.0,Scaffold-1,0.05
967,2.0,0.0,Scaffold-1,0.05
970,1.5,0.7071067811865476,Scaffold-1,0.05
1229,1.8333333333333333,0.38924947208076155,Scaffold-1,0.05
1285,1.0,,Scaffold-1,0.05
1364,2.0,1.0,Scaffold-1,0.05
1515,1.0,0.0,Scaffold-1,0.05
314,1.0,0.0,Scaffold-1,0.05
568,1.0,0.0,Scaffold-1,0.05
1044,1.0,,Scaffold-1,0.05
1125,1.0,,Scaffold-1,0.05
1214,1.0,0.0,Scaffold-1,0.05
1286,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1449,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
1562,2.0,1.0,Scaffold-1,0.05
41,1.8571428571428572,0.3779644730092273,Scaffold-1,0.05
126,2.0,0.0,Scaffold-1,0.05
905,2.0,0.0,Scaffold-1,0.05
978,1.3333333333333333,0.5773502691896257,Scaffold-1,0.05
1218,2.0,1.0,Scaffold-1,0.05
1485,1.0,0.0,Scaffold-1,0.05
1518,1.0,0.0,Scaffold-1,0.05
1636,1.0,0.0,Scaffold-1,0.05
1288,1.5,0.7071067811865476,Scaffold-1,0.05
1409,2.0,1.0,Scaffold-1,0.05
45,1.0,0.0,Scaffold-1,0.05
439,2.0,0.0,Scaffold-1,0.05
696,1.0,0.0,Scaffold-1,0.05
1023,1.0,,Scaffold-1,0.05
1265,1.0,,Scaffold-1,0.05
1318,1.0,,Scaffold-1,0.05
1595,1.0,0.0,Scaffold-1,0.05
479,1.0,,Scaffold-1,0.05
533,1.0,,Scaffold-1,0.05
553,1.5,0.5773502691896257,Scaffold-1,0.05
906,2.0,,Scaffold-1,0.05
909,1.0,0.0,Scaffold-1,0.05
1097,1.0,,Scaffold-1,0.05
1167,1.0,,Scaffold-1,0.05
1269,2.0,0.0,Scaffold-1,0.05
1467,1.0,,Scaffold-1,0.05
166,1.0,0.0,Scaffold-1,0.05
505,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
578,1.25,0.5,Scaffold-1,0.05
743,3.0,0.0,Scaffold-1,0.05
744,2.3333333333333335,0.5773502691896258,Scaffold-1,0.05
824,1.0,0.0,Scaffold-1,0.05
863,1.7777777777777777,0.4409585518440984,Scaffold-1,0.05
894,2.3333333333333335,0.5773502691896258,Scaffold-1,0.05
1043,1.0,0.0,Scaffold-1,0.05
1459,1.0,0.0,Scaffold-1,0.05
745,2.0,,Scaffold-1,0.05
811,2.5,0.7071067811865476,Scaffold-1,0.05
957,1.0,0.0,Scaffold-1,0.05
1129,2.0,0.0,Scaffold-1,0.05
1387,1.0,0.0,Scaffold-1,0.05
1529,1.0,,Scaffold-1,0.05
1583,2.0,,Scaffold-1,0.05
99,2.0,0.0,Scaffold-1,0.05
431,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
1004,2.0,1.0,Scaffold-1,0.05
1106,1.0,,Scaffold-1,0.05
1178,2.3333333333333335,0.5773502691896258,Scaffold-1,0.05
1197,1.0,,Scaffold-1,0.05
1419,1.0,,Scaffold-1,0.05
1431,1.0,,Scaffold-1,0.05
426,1.5,0.7071067811865476,Scaffold-1,0.05
503,2.0,,Scaffold-1,0.05
827,1.0,0.0,Scaffold-1,0.05
1108,2.0,1.4142135623730951,Scaffold-1,0.05
1144,1.0,0.0,Scaffold-1,0.05
1510,1.0,0.0,Scaffold-1,0.05
380,1.75,0.5,Scaffold-1,0.05
456,2.5,0.7071067811865476,Scaffold-1,0.05
498,1.0,,Scaffold-1,0.05
517,1.0,,Scaffold-1,0.05
1027,1.0,,Scaffold-1,0.05
1075,1.0,,Scaffold-1,0.05
1460,1.0,0.0,Scaffold-1,0.05
396,2.0,1.0,Scaffold-1,0.05
511,2.0,0.0,Scaffold-1,0.05
1046,1.0,,Scaffold-1,0.05
1238,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
1252,3.0,,Scaffold-1,0.05
1597,1.0,0.0,Scaffold-1,0.05
446,1.6666666666666667,0.5773502691896257,Scaffold-1,0.05
687,2.5,0.7071067811865476,Scaffold-1,0.05
1230,1.9166666666666667,0.28867513459481287,Scaffold-1,0.05
1263,2.0,0.816496580927726,Scaffold-1,0.05
224,1.0,0.0,Scaffold-1,0.05
854,2.0,,Scaffold-1,0.05
972,1.0,,Scaffold-1,0.05
1146,1.0,0.0,Scaffold-1,0.05
1311,2.3333333333333335,0.5773502691896258,Scaffold-1,0.05
411,1.0,0.0,Scaffold-1,0.05
